Sector,Case,Region,Variable_English,Year,Value,Sector2
Electric Generation,Reference,Canada,Natural Gas,2005,382.4944,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2006,410.8915,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2007,410.5822,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2008,430.3137,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2009,395.9779,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2010,518.6665,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2011,588.2207,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2012,617.0345,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2013,582.6976,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2014,520.1745,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2015,535.6427,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2016,522.5964,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2017,483.962,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2018,512.8203,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2019,525.3088,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2020,560.8411,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2021,592.8233,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2022,679.1254,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2023,736.2961,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2024,739.1207,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2025,781.4397,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2026,765.6773,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2027,744.2813,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2028,825.339,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2029,849.2102,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2030,914.1802,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2031,932.0498,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2032,890.175,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2033,899.3244,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2034,876.4703,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2035,886.9731,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2036,912.641,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2037,939.6497,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2038,950.9749,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2039,962.8583,Electric Generation
Electric Generation,Reference,Canada,Natural Gas,2040,968.3861,Electric Generation
