Case,Region,Variable_French,Type,Year,Value
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2005,1708.2882
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2006,1714.8882
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2007,1714.8882
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2008,1638.8882
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2009,1707.9882
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2010,1772.9882
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2011,1802.4852
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2012,1857.5852
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2013,1886.4342
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2014,2341.5282
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2015,2318.2282
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2016,2526.6
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2017,2842.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2018,2868.55
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2019,2940.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2020,2941.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2021,2981.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2022,3011.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2023,3103.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2024,3105.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2025,3146.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2026,3176.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2027,3216.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2028,3266.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2029,3276.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2030,3287.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2031,3287.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2032,3287.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2033,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2034,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2035,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2036,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2037,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2038,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2039,3337.05
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2040,3337.05
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2005,742.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2006,742.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2007,742.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2008,742.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2009,742.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2010,790.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2011,791.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2012,791.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2013,817.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2014,817.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2015,817.5
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2016,887.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2017,967.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2018,967.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2019,1007.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2020,1007.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2021,1047.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2022,1047.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2023,1087.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2024,1087.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2025,1127.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2026,1127.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2027,1167.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2028,1167.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2029,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2030,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2031,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2032,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2033,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2034,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2035,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2036,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2037,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2038,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2039,1177.79
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2040,1177.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2005,278
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2006,278
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2007,278
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2008,230
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2009,230
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2010,230
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2011,240
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2012,240
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2013,240
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2014,240
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2015,245
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2016,244.84
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2017,314.29
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2018,340.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2019,370.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2020,370.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2021,370.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2022,400.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2023,400.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2024,400.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2025,400.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2026,430.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2027,430.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2028,430.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2029,430.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2030,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2031,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2032,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2033,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2034,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2035,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2036,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2037,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2038,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2039,440.79
Prix élevés,Québec,Biomasse / géothermique,Combustible Principal,2040,440.79
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2005,271
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2006,313.1
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2007,313.1
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2008,313.1
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2009,323.2
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2010,340.2
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2011,358.697
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2012,413.797
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2013,416.646
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2014,438.3
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2015,428
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2016,423.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2017,464.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2018,464.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2019,464.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2020,464.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2021,464.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2022,464.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2023,514.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2024,514.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2025,514.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2026,514.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2027,514.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2028,564.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2029,564.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2030,564.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2031,564.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2032,564.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2033,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2034,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2035,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2036,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2037,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2038,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2039,614.61
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2040,614.61
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2005,181.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2006,148.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2007,148.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2008,120.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2009,179.7
Prix élevés,Ontario,Biomasse / géothermique,Combustible Principal,2010,179.7
