Case,Region,Variable_French,Type,Year,Value,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2005,6967.5946,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2006,7113.5442,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2007,6974.6668,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2008,6318.3765,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2009,6056.4497,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2010,8265.163,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2011,8716.119,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2012,9060.5727,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2013,9324.5646,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2014,12634.6041,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2015,6680.7065,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2016,8085.291,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2017,8974.3489,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2018,9085.7757,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2019,9520.3318,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2020,9396.6027,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2021,9680.2049,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2022,9829.4652,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2023,10575.5006,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2024,10588.5056,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2025,10782.3489,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2026,10930.8038,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2027,11149.1303,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2028,11678.0558,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2029,11738.1426,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2030,11799.2202,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2031,11811.4635,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2032,11817.5482,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2033,12262.0622,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2034,12266.7404,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2035,12267.8215,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2036,12265.7645,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2037,12258.1412,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2038,12246.1387,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2039,12232.8298,,
Prix élevés,Canada,Biomasse / géothermique,Combustible Principal,2040,12224.7334,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2005,1695.329,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2006,1825.335,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2007,1874.011,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2008,1915.95,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2009,1860.559,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2010,1907.417,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2011,1971.415,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2012,2088.77,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2013,2249.49,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2014,3497.128,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2015,795.5522,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2016,853.5,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2017,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2018,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2019,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2020,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2021,1143.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2022,1143.589,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2023,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2024,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2025,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2026,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2027,1581.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2028,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2029,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2030,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2031,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2032,2019.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2033,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2034,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2035,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2036,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2037,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2038,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2039,2457.59,,
Prix élevés,Alberta,Biomasse / géothermique,Combustible Principal,2040,2457.59,,
Prix élevés,Colombie-Britannique,Biomasse / géothermique,Combustible Principal,2005,2863.407,,
