Year,Region,value,Variable_French,Case,Unit
2005,Canada,120.3939447,Léger classique,Référence,Mille mètres cubes par jour
2006,Canada,119.3351015,Léger classique,Référence,Mille mètres cubes par jour
2007,Canada,128.4954072,Léger classique,Référence,Mille mètres cubes par jour
2008,Canada,126.621042,Léger classique,Référence,Mille mètres cubes par jour
2009,Canada,113.4217027,Léger classique,Référence,Mille mètres cubes par jour
2010,Canada,115.2757289,Léger classique,Référence,Mille mètres cubes par jour
2011,Canada,119.7834217,Léger classique,Référence,Mille mètres cubes par jour
2012,Canada,121.6098833,Léger classique,Référence,Mille mètres cubes par jour
2013,Canada,130.7790526,Léger classique,Référence,Mille mètres cubes par jour
2014,Canada,130.9087101,Léger classique,Référence,Mille mètres cubes par jour
2015,Canada,114.6754806,Léger classique,Référence,Mille mètres cubes par jour
2016,Canada,107.5690542,Léger classique,Référence,Mille mètres cubes par jour
2017,Canada,106.408596,Léger classique,Référence,Mille mètres cubes par jour
2018,Canada,102.8481434,Léger classique,Référence,Mille mètres cubes par jour
2019,Canada,102.6252528,Léger classique,Référence,Mille mètres cubes par jour
2020,Canada,95.1984327,Léger classique,Référence,Mille mètres cubes par jour
2021,Canada,95.02526415,Léger classique,Référence,Mille mètres cubes par jour
2022,Canada,94.3607341,Léger classique,Référence,Mille mètres cubes par jour
2023,Canada,98.34967177,Léger classique,Référence,Mille mètres cubes par jour
2024,Canada,99.11020012,Léger classique,Référence,Mille mètres cubes par jour
2025,Canada,100.3456419,Léger classique,Référence,Mille mètres cubes par jour
2026,Canada,100.5333428,Léger classique,Référence,Mille mètres cubes par jour
2027,Canada,101.1321578,Léger classique,Référence,Mille mètres cubes par jour
2028,Canada,103.8491184,Léger classique,Référence,Mille mètres cubes par jour
2029,Canada,107.752881,Léger classique,Référence,Mille mètres cubes par jour
2030,Canada,110.7142433,Léger classique,Référence,Mille mètres cubes par jour
2031,Canada,111.9037086,Léger classique,Référence,Mille mètres cubes par jour
2032,Canada,111.9301574,Léger classique,Référence,Mille mètres cubes par jour
2033,Canada,113.8906779,Léger classique,Référence,Mille mètres cubes par jour
2034,Canada,116.7046792,Léger classique,Référence,Mille mètres cubes par jour
