Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province,Company,Status,Latitude,Longitude,Approximate Volume Released,Substance,Release Type,Significant,Marker,Year
INC2008-001,Release of Substance,01/02/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,8,Crude Oil - Sweet,Liquid,No,small_blue,2008
INC2008-004,Release of Substance,01/23/2008,Cromer,Manitoba,Enbridge Pipelines Inc.,Closed,49.73135,-101.23557,100,Crude Oil - Sweet,Liquid,No,small_blue,2008
INC2008-008,Release of Substance,01/29/2008,Fort Nelson,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,58.012,-122.694333,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-016,Release of Substance,02/23/2008,Beiseker,Alberta,Foothills Pipe Lines Ltd.,Closed,51.385029,-113.535263,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-018,Release of Substance,02/25/2008,Moosomin,Saskatchewan,TransCanada PipeLines Limited,Closed,50.20739,-101.48731,100,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-020,Release of Substance,03/03/2008,Dryden,Ontario,TransCanada PipeLines Limited,Closed,49.7894,-92.76549,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-021,Release of Substance,03/03/2008,Smooth Rock Falls,Ontario,TransCanada PipeLines Limited,Closed,49.30391,-82.04386,18,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-027,Release of Substance,03/14/2008,Rapid City,Manitoba,TransCanada PipeLines Limited,Closed,50.07673,-99.99864,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
INC2008-030,Fatality,03/24/2008,Kerrobert,Saskatchewan,Enbridge Pipelines Inc.,Closed,51.92095,-109.17023,Not Applicable,Not Applicable,Not Applicable,Yes,small_red,2008
INC2008-034,Release of Substance,04/01/2008,Haileybury,Ontario,TransCanada PipeLines Limited,Closed,47.44678,-79.76267,Not Provided,Natural Gas - Sweet,Gas,No,small_green,2008
